,Brand,Phone Name,Color,RAM,Storage (ROM),Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Processor Core,Battery Capacity,Price,Product URL
11,OPPO,F17 Pro,Matte Black,8 GB,128 GB,48MP + 8MP + 2MP + 2MP,16MP + 2MP Dual Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Helio P95,Octa Core,73.77 mm,"₹21,490",https://www.flipkart.com/oppo-f17-pro-matte-black-128-gb/p/itm4e2fc7ddc621c?pid=MOBFVYVXMYEUDPTY&lid=LSTMOBFVYVXMYEUDPTYQN71JQ&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFVYVXMYEUDPTY.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
12,OPPO,A31,Lake Green,4 GB,64 GB,12MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio P35 Octa Core,Octa Core,4230 mAh,"₹11,340",https://www.flipkart.com/oppo-a31-lake-green-64-gb/p/itm82e19f459118a?pid=MOBFPBD6H7DYCEM5&lid=LSTMOBFPBD6H7DYCEM50NOG32&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFPBD6H7DYCEM5.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
13,OPPO,F19 Pro,Crystal Silver,8 GB,128 GB,48MP + 8MP + 2MP + 2MP,16MP Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Helio P95 (MT6779V),Octa Core,73.2 mm,"₹21,490",https://www.flipkart.com/oppo-f19-pro-crystal-silver-128-gb/p/itmf3153ba8dbf1a?pid=MOBGYV9VEMHYEQAA&lid=LSTMOBGYV9VEMHYEQAANMI9U7&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBGYV9VEMHYEQAA.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
14,OPPO,A15S,Fancy white,4 GB,128 GB,Primary Camera,-,16.56 cm (6.52 inch),720 x 1600$$pixel,Dual Core,2.3 GHz,-,"₹12,375",https://www.flipkart.com/oppo-a15s-fancy-white-128-gb/p/itm8a26d15bdd39c?pid=MOBG22NMSYBGYYUG&lid=LSTMOBG22NMSYBGYYUGT7YOAL&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBG22NMSYBGYYUG.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
15,OPPO,F19,Midnight Blue,6 GB,128 GB,48MP + 2MP + 2MP,16MP Front Camera,16.33 cm (6.43 inch),2400 × 1080 Pixels,Qualcomm Snapdragon 662,Octa Core,5000 mAh,"₹18,990",https://www.flipkart.com/oppo-f19-midnight-blue-128-gb/p/itm82f60569dc6db?pid=MOBGFGWNEYV3NZBV&lid=LSTMOBGFGWNEYV3NZBVFZZVNZ&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBGFGWNEYV3NZBV.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
16,OPPO,F17 Pro,Metallic White,8 GB,128 GB,48MP + 8MP + 2MP + 2MP,16MP + 2MP Dual Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Helio P95,Octa Core,73.77 mm,"₹21,490",https://www.flipkart.com/oppo-f17-pro-metallic-white-128-gb/p/itm4e2fc7ddc621c?pid=MOBFVYVXYXFSV2CH&lid=LSTMOBFVYVXYXFSV2CH3AZVSO&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFVYVXYXFSV2CH.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
17,OPPO,F17,Navy Blue,8 GB,128 GB,16MP + 8MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch),2400 x 1080 Pixels,Qualcomm Snapdragon 662,Octa Core,72.9 mm,"₹18,489",https://www.flipkart.com/oppo-f17-navy-blue-128-gb/p/itm428055529feac?pid=MOBFVDASCDHJYEAM&lid=LSTMOBFVDASCDHJYEAMQPEDCU&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFVDASCDHJYEAM.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
18,OPPO,A31,Mystery Black,4 GB,64 GB,12MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio P35 Octa Core,Octa Core,4230 mAh,"₹11,490",https://www.flipkart.com/oppo-a31-mystery-black-64-gb/p/itm82e19f459118a?pid=MOBFPBD73QS7DUSD&lid=LSTMOBFPBD73QS7DUSD0H5TYH&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFPBD73QS7DUSD.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
19,OPPO,A31,Fantasy White,4 GB,64 GB,12MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio P35 Octa Core,Octa Core,4230 mAh,"₹11,499",https://www.flipkart.com/oppo-a31-fantasy-white-64-gb/p/itm82e19f459118a?pid=MOBFPBD67MFNGTHM&lid=LSTMOBFPBD67MFNGTHMIDFTHA&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFPBD67MFNGTHM.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
20,OPPO,A15S,Fancy White,4 GB,64 GB,Primary Camera,-,16.56 cm (6.52 inch),720 x 1600$$pixel,Octa Core,2.3 GHz,-,"₹11,490",https://www.flipkart.com/oppo-a15s-fancy-white-64-gb/p/itm8a26d15bdd39c?pid=MOBFYQJNKZKFYBAA&lid=LSTMOBFYQJNKZKFYBAAYLYUL2&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFYQJNKZKFYBAA.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
21,OPPO,A31,Mystery Black,6 GB,128 GB,12MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio P35 Octa Core,Octa Core,4230 mAh,"₹13,449",https://www.flipkart.com/oppo-a31-mystery-black-128-gb/p/itm82e19f459118a?pid=MOBFPBD6ZYTJUAXN&lid=LSTMOBFPBD6ZYTJUAXNM1DW6I&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFPBD6ZYTJUAXN.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
22,OPPO,F19 Pro+ 5G,Fluid Black,8 GB,128 GB,48MP + 8MP + 2MP + 2MP,16MP Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Dimensity 800U,Octa Core,4310 mAh,"₹25,990",https://www.flipkart.com/oppo-f19-pro-5g-fluid-black-128-gb/p/itmd90acf0f30ad6?pid=MOBGFUZ4XC4VCJAY&lid=LSTMOBGFUZ4XC4VCJAYUVMETX&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBGFUZ4XC4VCJAY.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
23,OPPO,F19 Pro+ 5G,Space Silver,8 GB,128 GB,48MP + 8MP + 2MP + 2MP,16MP Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Dimensity 800U,Octa Core,4310 mAh,"₹25,990",https://www.flipkart.com/oppo-f19-pro-5g-space-silver-128-gb/p/itmd90acf0f30ad6?pid=MOBGFUZ4ARZ5SPGT&lid=LSTMOBGFUZ4ARZ5SPGT9BXTWL&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBGFUZ4ARZ5SPGT.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
