,Fruits,Cars,Machine Learning
0,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.healthyeating.org%2Fimages%2Fdefault-source%2Fhome-0.0%2Fnutrition-topics-2.0%2Fgeneral-nutrition-wellness%2F2-2-2-3foodgroups_fruits_detailfeature_thumb.jpg%3Fsfvrsn%3D7abe71fe_4&imgrefurl=https%3A%2F%2Fwww.healthyeating.org%2FHealthy-Eating%2FAll-Star-Foods%2FFruits&tbnid=12LB6t-_YQapMM&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygAegUIARDOAQ..i&docid=_XVIsgIH8atHaM&w=700&h=426&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygAegUIARDOAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5d3703e2f1176b00089761a6%2F960x0.jpg%3FcropX1%3D836%26cropX2%3D5396%26cropY1%3D799%26cropY2%3D3364&imgrefurl=https%3A%2F%2Fwww.forbes.com%2Fsites%2Fjimgorzelany%2F2019%2F07%2F23%2Fhere-are-the-coolest-new-cars-for-2020%2F&tbnid=2HR6gA81oIwMTM&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygAegUIARDQAQ..i&docid=HZLLyFhoQjvNCM&w=960&h=540&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygAegUIARDQAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fthumbor.forbes.com%2Fthumbor%2F960x0%2Fhttps%253A%252F%252Fspecials-images.forbesimg.com%252Fdam%252Fimageserve%252F966248982%252F960x0.jpg%253Ffit%253Dscale&imgrefurl=https%3A%2F%2Fwww.forbes.com%2Fsites%2Fkalevleetaru%2F2019%2F01%2F15%2Fwhy-machine-learning-needs-semantics-not-just-statistics%2F&tbnid=ZJ1GOgTF0Or3iM&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygAegUIARDLAQ..i&docid=AEohAx4yXGBiGM&w=960&h=618&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygAegUIARDLAQ
1,https://www.google.com/imgres?imgurl=https%3A%2F%2Fhips.hearstapps.com%2Fhmg-prod.s3.amazonaws.com%2Fimages%2Fassortment-of-colorful-ripe-tropical-fruits-top-royalty-free-image-995518546-1564092355.jpg%3Fcrop%3D0.982xw%3A0.736xh%3B0%2C0.189xh%26resize%3D1200%3A*&imgrefurl=https%3A%2F%2Fwww.goodhousekeeping.com%2Fhealth%2Fdiet-nutrition%2Fg28511617%2Fhealthiest-fruits%2F&tbnid=380ecBKONKPmkM&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygBegUIARDQAQ..i&docid=M75OSqqe88sloM&w=1200&h=600&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygBegUIARDQAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fhips.hearstapps.com%2Fhmg-prod.s3.amazonaws.com%2Fimages%2F2022-chevrolet-corvette-z06-1607016574.jpg%3Fcrop%3D0.737xw%3A0.738xh%3B0.181xw%2C0.218xh%26resize%3D640%3A*&imgrefurl=https%3A%2F%2Fwww.popularmechanics.com%2Fcars%2Fa34824254%2Fmost-exciting-new-cars-2021%2F&tbnid=1cyp5gGE2Eek6M&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygBegUIARDSAQ..i&docid=Q0Xp_IrWnN-9sM&w=640&h=427&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygBegUIARDSAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fthumbor.forbes.com%2Fthumbor%2Ffit-in%2F1200x0%2Ffilters%253Aformat%2528jpg%2529%2Fhttps%253A%252F%252Fspecials-images.forbesimg.com%252Fdam%252Fimageserve%252F1129869424%252F0x0.jpg%253Ffit%253Dscale&imgrefurl=https%3A%2F%2Fwww.forbes.com%2Fsites%2Ftomtaulli%2F2019%2F03%2F02%2Fwhat-you-need-to-know-about-machine-learning%2F&tbnid=eoz97HFb1eMi2M&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygBegUIARDNAQ..i&docid=KZIq7QZ5ZKhgrM&w=1200&h=900&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygBegUIARDNAQ
2,https://www.google.com/imgres?imgurl=https%3A%2F%2Fi.pinimg.com%2Foriginals%2Fc2%2F2e%2F32%2Fc22e324ceb7a7f5b1fc69152dd68d85b.jpg&imgrefurl=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F641340803167435998%2F&tbnid=piwF95wcOjYE8M&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygCegUIARDSAQ..i&docid=x6jL6dUALnT2NM&w=1500&h=2200&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygCegUIARDSAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fmedia.wired.com%2Fphotos%2F5d09594a62bcb0c9752779d9%2F1%3A1%2Fw_1500%2Ch_1500%2Cc_limit%2FTranspo_G70_TA-518126.jpg&imgrefurl=https%3A%2F%2Fwww.wired.com%2Fstory%2Fjd-power-korean-cars-beat-us-europe-quality%2F&tbnid=70qyfnrS9vvQHM&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygCegUIARDUAQ..i&docid=tPMJM81OaxoalM&w=1500&h=1500&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygCegUIARDUAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.blumeglobal.com%2Fwp-content%2Fuploads%2F2018%2F11%2Fshutterstock_344688470.jpg&imgrefurl=https%3A%2F%2Fwww.blumeglobal.com%2Flearning%2Fmachine-learning%2F&tbnid=E4LcRSbAmRpxHM&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygCegUIARDPAQ..i&docid=e6cxx9al5Fp5nM&w=7016&h=4965&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygCegUIARDPAQ
3,https://www.google.com/imgres?imgurl=https%3A%2F%2Fres.cloudinary.com%2Fgrohealth%2Fimage%2Fupload%2F%24wpsize_!_cld_full!%2Cw_2100%2Ch_1427%2Cc_scale%2Fv1588088840%2FiStock-467652436.jpg&imgrefurl=https%3A%2F%2Fwww.diabetes.co.uk%2Ffood%2Ffruit.html&tbnid=Iqrn9zwUMx_LVM&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygDegUIARDUAQ..i&docid=V1GXApsZb-s1oM&w=2100&h=1427&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygDegUIARDUAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fcdn.luxe.digital%2Fmedia%2F2020%2F12%2F15110747%2Ffastest-cars-world-2021-luxe-digital%25402x.jpg&imgrefurl=https%3A%2F%2Fluxe.digital%2Flifestyle%2Fcars%2Ffastest-cars%2F&tbnid=c-iSDW_0ao_lnM&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygDegUIARDWAQ..i&docid=TpHOSZRL_ZLoAM&w=2400&h=1200&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygDegUIARDWAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.expert.ai%2Fwp-content%2Fuploads%2F2017%2F03%2Fmachine-learning-definition.jpeg&imgrefurl=https%3A%2F%2Fwww.expert.ai%2Fblog%2Fmachine-learning-definition%2F&tbnid=Ae4oqI3KeK3dIM&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygDegUIARDRAQ..i&docid=I0ZQVzgv7xSlKM&w=1600&h=419&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygDegUIARDRAQ
4,https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F91WdMqaFL6L.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FFruits-All-One-Dreamland-Publications%2Fdp%2F8184510594&tbnid=DJZ90QQP1VuhEM&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygEegUIARDWAQ..i&docid=zQB8dyYb89lltM&w=1706&h=2560&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygEegUIARDWAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.extremetech.com%2Fwp-content%2Fuploads%2F2019%2F12%2FSONATA-hero-option1-764A5360-edit.jpg&imgrefurl=https%3A%2F%2Fwww.extremetech.com%2Fextreme%2F303740-car-of-the-year-extremetechs-best-cars-for-2020&tbnid=yTUc1B6nwrsI_M&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygEegUIARDYAQ..i&docid=WRUkA1xe_6Tf7M&w=1344&h=743&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygEegUIARDYAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwordstream-files-prod.s3.amazonaws.com%2Fs3fs-public%2Fstyles%2Fsimple_image%2Fpublic%2Fimages%2Fmachine-learning1.png%3FSnePeroHk5B9yZaLY7peFkULrfW8Gtaf%26itok%3DyjEJbEKD&imgrefurl=https%3A%2F%2Fwww.wordstream.com%2Fblog%2Fws%2F2017%2F07%2F28%2Fmachine-learning-applications&tbnid=tL75W2Gg067-6M&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygEegUIARDTAQ..i&docid=w4crQID_KA1BNM&w=1398&h=1000&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygEegUIARDTAQ
5,https://www.google.com/imgres?imgurl=https%3A%2F%2Fbasket.com%2Fwp-content%2Fuploads%2F2018%2F07%2FWhat-Your-Favorite-Fruit-Says-About-You.jpg&imgrefurl=https%3A%2F%2Fbasket.com%2Fblog%2Fwhat-your-favorite-fruit-says-about-you%2F&tbnid=GcKFsOrgqWDe8M&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygFegUIARDYAQ..i&docid=2KpnYHD7gWhPWM&w=4500&h=3000&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygFegUIARDYAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fcars.usnews.com%2Fpics%2Fsize%2F640x420%2Fstatic%2Fimages%2Farticle%2F202012%2F128775%2F1_Lamborghini_Sian_FKP_37.jpg&imgrefurl=https%3A%2F%2Fcars.usnews.com%2Fcars-trucks%2Fmost-expensive-cars&tbnid=8abRShwVL34ShM&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygFegUIARDaAQ..i&docid=G_28AkVIxgclsM&w=640&h=420&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygFegUIARDaAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.techrepublic.com%2Fa%2Fhub%2Fi%2Fr%2F2019%2F02%2F14%2Fbfa2d5fd-49b2-4fb7-9d80-a060e61ddb65%2Fresize%2F1200x900%2F6ca9ded9a9c7f016ba21c07defbaa398%2Fmachine-learning.jpg&imgrefurl=https%3A%2F%2Fwww.techrepublic.com%2Farticle%2Fmachine-learning-the-smart-persons-guide%2F&tbnid=H81xXynNT5kJxM&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygFegUIARDVAQ..i&docid=XyoP5FIz5yDk3M&w=1200&h=900&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygFegUIARDVAQ
6,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.diagnosisdiet.com%2Fassets%2Fimages%2Fc%2Ffruit-og-d176ef00.jpg&imgrefurl=https%3A%2F%2Fwww.diagnosisdiet.com%2Ffull-article%2Ffruit&tbnid=1E8sGTV6jx9DMM&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygGegUIARDaAQ..i&docid=C6aztEbQ3_kgOM&w=900&h=450&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygGegUIARDaAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.elitetraveler.com%2Fwp-content%2Fuploads%2F2019%2F07%2FScreenshot-2020-05-12-at-15.10.34.png&imgrefurl=https%3A%2F%2Fwww.elitetraveler.com%2Fluxury-transport%2Fautomotive%2Fthe-best-luxury-cars-of-2019&tbnid=cq_oIrK_CcAg8M&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygGegUIARDcAQ..i&docid=o9_EOPnBdlXpcM&w=1194&h=503&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygGegUIARDcAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fdata-flair.training%2Fblogs%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F07%2Fwhat-is-machine-learning-1200x675.jpg&imgrefurl=https%3A%2F%2Fdata-flair.training%2Fblogs%2Fmachine-learning-tutorial%2F&tbnid=EmU4M6IKcBH5TM&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygGegUIARDXAQ..i&docid=BP-BkWcCjshtpM&w=1200&h=675&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygGegUIARDXAQ
7,https://www.google.com/imgres?imgurl=https%3A%2F%2Fi.pinimg.com%2Foriginals%2Fc7%2F01%2Fc4%2Fc701c4de5b9c0a783c1752a753b9a356.jpg&imgrefurl=https%3A%2F%2Fin.pinterest.com%2Fpin%2F650840583630938829%2F&tbnid=poxTDeRLsYOhSM&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygHegUIARDcAQ..i&docid=aUk2Wg09QFETfM&w=1500&h=1900&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygHegUIARDcAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fhips.hearstapps.com%2Fhmg-prod.s3.amazonaws.com%2Fimages%2Fthe-bugatti-chiron-is-shown-to-the-goodwood-festival-of-news-photo-1600106522.jpg%3Fcrop%3D0.641xw%3A1.00xh%3B0.127xw%2C0%26resize%3D640%3A*&imgrefurl=https%3A%2F%2Fwww.popularmechanics.com%2Fcars%2Fg93%2Fthe-100-hottest-cars-of-all-time%2F&tbnid=Ja7mj0WAYlTl9M&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygHegUIARDeAQ..i&docid=zinfrusCIV7a2M&w=640&h=634&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygHegUIARDeAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fmiro.medium.com%2Fmax%2F2400%2F1*c_fiB-YgbnMl6nntYGBMHQ.jpeg&imgrefurl=https%3A%2F%2Fbecominghuman.ai%2Fan-introduction-to-machine-learning-33a1b5d3a560&tbnid=3jLhLzMP7uPj8M&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygHegUIARDZAQ..i&docid=fsy6MgAUs3N2mM&w=1200&h=785&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygHegUIARDZAQ
8,https://www.google.com/imgres?imgurl=https%3A%2F%2Fi.ytimg.com%2Fvi%2FPY2OxP_jMZ0%2Fmaxresdefault.jpg&imgrefurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DPY2OxP_jMZ0&tbnid=TjYXP-tvc-TAgM&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygIegUIARDeAQ..i&docid=H5TncV3WUwb3NM&w=1280&h=720&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygIegUIARDeAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fetimg.etb2bimg.com%2Fphoto%2F73002933.cms&imgrefurl=https%3A%2F%2Fauto.economictimes.indiatimes.com%2Fnews%2Fpassenger-vehicle%2Fcars%2Fhalf-a-dozen-cars-coming-in-january-2020%2F73002945&tbnid=37PTwn9iAFpySM&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygIegUIARDgAQ..i&docid=54GY1qfFc4KqEM&w=4000&h=3000&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygIegUIARDgAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.thermofisher.com%2Fblog%2Fconnectedlab%2Fwp-content%2Fuploads%2Fsites%2F14%2F2020%2F01%2Fistock-962219860-2-scaled.jpg&imgrefurl=https%3A%2F%2Fwww.thermofisher.com%2Fblog%2Fconnectedlab%2Fmachine-learning-a-primer-to-laboratory-applications%2F&tbnid=TEIKCuzCmmQx7M&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygIegUIARDbAQ..i&docid=ywezucgqX3ju7M&w=2560&h=1764&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygIegUIARDbAQ
9,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.unlockfood.ca%2FEatRightOntario%2Fmedia%2FWebsite-images-resized%2FHow-to-store-fruit-to-keep-it-fresh-resized.jpg&imgrefurl=https%3A%2F%2Fwww.unlockfood.ca%2Fen%2FArticles%2FCooking-Food-Preparation%2FHow-to-store-fruit-to-keep-them-fresh.aspx&tbnid=46m7s3p1Eb4y0M&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygJegUIARDhAQ..i&docid=D9zZ7kS5L2y85M&w=830&h=553&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygJegUIARDhAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fstatic-ssl.businessinsider.com%2Fimage%2F5d9b5bff52887931e8497a36-1405%2F141222twnmustang.jp2&imgrefurl=https%3A%2F%2Fwww.businessinsider.in%2Fbusiness%2Fnews%2Fthis-list-of-the-10-new-cars-owners-keep-the-longest-reveals-just-how-much-american-love-their-suvs-and-sports-cars%2Farticleshow%2F71543233.cms&tbnid=UZpOzbvi1JdxIM&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygJegUIARDiAQ..i&docid=u6HP5iWc-iqq8M&w=1405&h=1054&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygJegUIARDiAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.simplilearn.com%2Fice9%2Ffree_resources_article_thumb%2FDeep-Learning-vs-Machine-Learning.jpg&imgrefurl=https%3A%2F%2Fwww.simplilearn.com%2Fmachine-learning-vs-deep-learning-major-differences-you-need-to-know-article&tbnid=xwU9PW0bTAPaIM&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygJegUIARDdAQ..i&docid=QGD4Ft0EgfblhM&w=848&h=477&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygJegUIARDdAQ
10,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.byrdie.com%2Fthmb%2FXHYvx1E1cA_z1k_Gl12gs2MHy28%3D%2F1549x1549%2Fsmart%2Ffilters%3Ano_upscale()%2FGettyImages-539031092-6f4af91aca38420dadb89d70c32d034a.jpg&imgrefurl=https%3A%2F%2Fwww.byrdie.com%2Funhealthy-fruit&tbnid=cA6h7SOrvwBMSM&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygKegUIARDjAQ..i&docid=C2WO6ebFavcIvM&w=1549&h=1549&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygKegUIARDjAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fpv-magazine-usa.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2019%2F10%2FFordEV-1200x800.jpeg&imgrefurl=https%3A%2F%2Fpv-magazine-usa.com%2F2020%2F05%2F19%2Fthe-future-of-cars-is-electric-but-how-soon-is-this-future%2F&tbnid=yXXperhjCn-TEM&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygKegUIARDkAQ..i&docid=u-snO1eZQ8qJgM&w=1200&h=800&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygKegUIARDkAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fblog.bismart.com%2Fhs-fs%2Fhubfs%2F02-MachinelearningVSDeeplearning_Mesa%2520de%2520trabajo%25201%2520copia%25202_Mesa%2520de%2520trabajo%25201%2520copia%25202.jpg%3Fwidth%3D3509%26name%3D02-MachinelearningVSDeeplearning_Mesa%2520de%2520trabajo%25201%2520copia%25202_Mesa%2520de%2520trabajo%25201%2520copia%25202.jpg&imgrefurl=https%3A%2F%2Fblog.bismart.com%2Fen%2Fdifference-between-machine-learning-deep-learning&tbnid=ykyCHa-qHMX6PM&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygKegUIARDfAQ..i&docid=soOI549gFEugTM&w=3509&h=2482&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygKegUIARDfAQ
11,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.learn-italian-online.net%2Fimages%2Fimg%2Fvocabolario%2FItalian_Fruit_Names.jpg&imgrefurl=https%3A%2F%2Fwww.learn-italian-online.net%2Fresources%2Fbasic-italian-words-2%2F156-frutta.html&tbnid=qmJSLszjzEj55M&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygLegUIARDlAQ..i&docid=V4izxArARJWrGM&w=940&h=874&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygLegUIARDlAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fi.ytimg.com%2Fvi%2F_adJBzQgfsg%2Fmaxresdefault.jpg&imgrefurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D_adJBzQgfsg&tbnid=WT8c5cqtQ8TNsM&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygLegUIARDmAQ..i&docid=B9O0OBGEXz38UM&w=1280&h=720&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygLegUIARDmAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.iberdrola.com%2Fwcorp%2Fgc%2Fprod%2Fen_US%2Fcomunicacion%2Fmachine_learning_mult_1_res%2Fmachine_learning_746x419.jpg&imgrefurl=https%3A%2F%2Fwww.iberdrola.com%2Finnovation%2Fmachine-learning-automatic-learning&tbnid=FC4GzskmUbuLfM&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygLegUIARDhAQ..i&docid=dqB2M7rXsGoLLM&w=746&h=419&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygLegUIARDhAQ
12,https://www.google.com/imgres?imgurl=https%3A%2F%2Fcdn.cliqueinc.com%2Fposts%2F281986%2Ffruits-that-are-high-in-sugar-281986-1566362117724-main.700x0c.jpg&imgrefurl=https%3A%2F%2Fthethirty.whowhatwear.com%2Ffruits-that-are-high-in-sugar&tbnid=7fXD4yPgAlcOoM&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygMegUIARDnAQ..i&docid=kyDaFSTSyiamwM&w=700&h=525&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygMegUIARDnAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fhips.hearstapps.com%2Famv-prod-gp.s3.amazonaws.com%2Fgearpatrol%2Fwp-content%2Fuploads%2F2019%2F10%2FBuy-a-Kia-Telluride-Instead-gear-patrol-slide-1.jpg%3Fcrop%3D0.620xw%3A0.919xh%3B0.293xw%2C0.0813xh%26resize%3D640%3A*&imgrefurl=https%3A%2F%2Fwww.gearpatrol.com%2Fcars%2Fg33835883%2Fthe-best-cars-to-buy-in-2020%2F&tbnid=0EIW6yHt2Zg_3M&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygMegUIARDpAQ..i&docid=76_RHlSNSqchmM&w=640&h=636&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygMegUIARDpAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fmedia.geeksforgeeks.org%2Fwp-content%2Fcdn-uploads%2FmachineLearning3.png&imgrefurl=https%3A%2F%2Fwww.geeksforgeeks.org%2Fmachine-learning%2F&tbnid=vRPa0fH3k54EqM&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygMegUIARDjAQ..i&docid=YWDwa3WDxE4hxM&w=1000&h=700&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygMegUIARDjAQ
13,https://www.google.com/imgres?imgurl=https%3A%2F%2Fi.ytimg.com%2Fvi%2FS0S1M9bKlYk%2Fmaxresdefault.jpg&imgrefurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DS0S1M9bKlYk&tbnid=hpyYjz9Di7Sr5M&vet=12ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygNegUIARDpAQ..i&docid=aFzyXVAIxQoOAM&w=1280&h=720&q=fruits&ved=2ahUKEwiN-duAopHwAhWogksFHVyyDfYQMygNegUIARDpAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fimgd.aeplcdn.com%2F0x0%2Fn%2Fcw%2Fec%2F20865%2Famg-gt-exterior-right-front-three-quarter-60800.jpeg&imgrefurl=https%3A%2F%2Fwww.carwale.com%2Fmercedesbenz-cars%2Famg-gt%2F&tbnid=GlHqIVPM0cFzfM&vet=12ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygNegUIARDrAQ..i&docid=1KUYCY6enHHfQM&w=1915&h=1082&q=cars&ved=2ahUKEwjg1-eaopHwAhVMB3IKHfGtC0MQMygNegUIARDrAQ,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.nokia.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fnokia_blog_page_image%2Fpublic%2Fblog%2Fnokia-analytics-banner.jpg&imgrefurl=https%3A%2F%2Fwww.nokia.com%2Fblog%2Fstudy-ai-machine-learning%2F&tbnid=yXNgZEFpnrd3yM&vet=12ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygNegUIARDlAQ..i&docid=lFbVuztF-oeBLM&w=942&h=381&q=Machine%20Learning&ved=2ahUKEwjUu8u1opHwAhXLEysKHXf5DPYQMygNegUIARDlAQ
